Depto;Departamento;Fam;Familia;anioretail;mesretail;ventasnetas;costos;Utilidad;% Margen
1;Juguetes;900;Barbie;2013;7;371203;-221744;149459;0.4
1;Juguetes;900;Barbie;2013;10;508070;-291641;216428;0.43
1;Juguetes;901;Belleza Niñas;2013;3;56718;-24732;31986;0.56
1;Juguetes;901;Belleza Niñas;2013;6;48157;-19988;28168;0.58
1;Juguetes;901;Belleza Niñas;2013;9;105551;-55504;50047;0.47
1;Juguetes;902;Hogar Niñas;2013;5;59627;-25100;34528;0.58
1;Juguetes;902;Hogar Niñas;2013;8;135313;-70256;65057;0.48
1;Juguetes;902;Hogar Niñas;2013;11;240754;-125396;115358;0.48
1;Juguetes;903;Muñecas;2013;5;255775;-126600;129174;0.51
1;Juguetes;903;Muñecas;2013;8;415280;-260792;154489;0.37
1;Juguetes;903;Muñecas;2013;11;1020690;-595997;424693;0.42
1;Juguetes;904;Lanzadores;2013;3;110267;-55502;54766;0.5
1;Juguetes;904;Lanzadores;2013;6;107899;-57598;50301;0.47
1;Juguetes;905;Deportes;2013;1;128202;-61851;66351;0.52
1;Juguetes;905;Deportes;2013;4;93542;-47578;45964;0.49
1;Juguetes;905;Deportes;2013;7;161308;-83680;77627;0.48
1;Juguetes;905;Deportes;2013;10;150904;-86095;64810;0.43
1;Juguetes;906;Figuras de Acción;2013;1;209849;-118939;90911;0.43
1;Juguetes;906;Figuras de Acción;2013;4;504009;-605055;-101046;-0.2
1;Juguetes;906;Figuras de Acción;2013;7;457666;-253393;204274;0.45
1;Juguetes;906;Figuras de Acción;2013;10;603632;-354087;249545;0.41
1;Juguetes;907;Hobbies;2013;1;41483;-21502;19981;0.48
1;Juguetes;907;Hobbies;2013;4;22755;-11469;11286;0.5
1;Juguetes;907;Hobbies;2013;11;72465;-45738;26727;0.37
1;Juguetes;908;Educativo;2013;2;18096;-8665;9431;0.52
1;Juguetes;908;Educativo;2013;9;61157;-35286;25871;0.42
1;Juguetes;908;Educativo;2013;12;381070;-206904;174166;0.46
1;Juguetes;910;Vehículos RC;2013;11;325689;-166092;159597;0.49
1;Juguetes;911;Vehículos Mécanicos;2013;4;226133;-146671;79462;0.35
